Parkinginfo_px,Parkinginfo,Py,Px
,,25.05497,121.48944
,,25.00716,121.45383
,,25.03656,121.86594
,,24.94371,121.62261
,,24.95924,121.44347
,,25.25696,121.50148
,,24.87731,121.36531
,,25.21414,121.69729
,,25.24644,121.61119
,,25.20307,121.69291
,,25.01891,121.73861
,,24.97181,121.39389
,,25.02381,121.72343
,,24.77861,121.50321
,,24.97728,121.45704
,,25.25236,121.59009
,,25.01671,121.65363
,,25.08101,121.49343
,,25.03806,121.45966
,,24.90715,121.72041
,,25.21468,121.48694
,,25.03599,121.86171
,,25.02378,121.72329
,,25.09668,121.47431
,,25.16033,121.41938
,,24.84882,121.55193
,,24.94596,121.47901
,,24.85111,121.55833
,,25.02182,121.47553
,,25.00941,121.45743
,,25.14089,121.38446
,,25.16234,121.42556
,,25.22182,121.63826
,,25.01584,121.51781
,,25.07207,121.37739
,,25.02744,121.82741
,,25.08788,121.82813
,,24.93639,121.71201
,,25.02579,121.73772
,,25.15137,121.43369
,,24.95433,121.42936
,,25.11027,121.85603
,,25.09637,121.41927
,,25.09191,121.45641
,,25.00431,121.48061
,,25.03561,121.45526
,,24.95099,121.40885
,,25.02333,121.72251
,,25.03016,121.66577
,,24.94796,121.37943
,,25.16925,121.44855
,,25.10906,121.85907
,,25.16897,121.41664
,,24.95087,121.34843
,,25.17674,121.60607
,,25.24814,121.60174
,,25.10854,121.84302
,,25.11436,121.85861
,,24.95267,121.35327
,,25.01347,121.40953
,,25.07585,121.40141
,,24.81981,121.51458
,,24.94795,121.65781
,,25.01661,121.69826
,,24.95632,121.53611
,,25.05747,121.92651
,,25.07062,121.42712
,,24.96473,121.44231
,,24.84904,121.55159
,,24.92721,121.37013
